gene	nominal.p.value	adjusted.p.value
VHL	6.60360986175248e-11	9.90541479262872e-11
EGFR	1.84786599957997e-19	3.95971285624279e-19
CCND1	4.05424631234956e-07	5.06780789043695e-07
CTNNB1	1.74486238247223e-14	3.27161696713543e-14
HRAS	5.95792272706356e-28	4.46844204529767e-27
BRAF	8.9814740300497e-25	3.36805276126864e-24
PTEN	1.77600840111908e-09	2.42182963788966e-09
AKT1	0.121990553717323	0.121990553717323
MYC	3.48085886202041e-11	5.80143143670069e-11
KRAS	1.87101380562054e-20	4.67753451405134e-20
STAT3	2.84772857744579e-27	1.42386428872289e-26
MTOR	1.57491978162817e-23	4.72475934488452e-23
TP53	2.16832449540985e-05	2.50191287931905e-05
PIK3CA	2.9998255998409e-31	4.49973839976135e-30
VEGFA	0.0199483582005452	0.0213732409291555
