ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
MF	GO:0002162	dystroglycan binding	10	0.85813058762669	1.61593777925989	0.00279521319278525	0.0463100382452228	0.0415242304976531	1683	tags=20%, list=5%, signal=19%	10551/155465
CC	GO:0042571	immunoglobulin complex, circulating	61	0.743914920809603	1.70808777405333	7.36082024787638e-08	1.04407424042247e-05	9.3617671370498e-06	7047	tags=77%, list=19%, signal=62%	28409/3497/3539/28400/3507/28385/3543/28466/3538/3514/3500/28912/28468/3503/28423/28392/28424/388077/28396/28426/28394/28442/100423062/28434/3542/28395/3501/28444/28445/28401/28388/28452/28450/28461/28457/3494/28454/28834/28408/28439/102723169/3493/3502/28414/28391/28448/3512
CC	GO:0019814	immunoglobulin complex	142	0.736489004930317	1.75729165440495	1e-10	3.85e-08	3.45213032581454e-08	7427	tags=75%, list=20%, signal=60%	28773/28883/28896/28775/28921/28409/28784/28907/28877/28797/28916/28891/28803/28893/3497/3539/28400/28785/3507/28385/3543/28906/28466/3538/28937/3514/3500/28912/28809/28815/28820/28468/3503/28874/28423/28392/28424/388077/28396/28913/28426/28778/28813/28299/28814/28774/28394/28442/100423062/28434/28776/3542/28395/28939/28510/28941/28826/3501/28793/28779/28833/28816/28444/28796/28445/28401/28388/28452/28450/28783/28875/28902/28942/28781/973/28461/28457/3494/28823/28454/28834/28408/28439/102723169/28791/28876/28884/28908/28817/28799/3493/3502/28414/28881/28795/28943/28391/28938/28919/28448/28483/28870/3512/28935/28900/28940/28825
MF	GO:0034987	immunoglobulin receptor binding	65	0.734812909382226	1.69076169482688	7.57263881021102e-08	1.05559973759579e-05	9.46511134045795e-06	7047	tags=72%, list=19%, signal=58%	28409/3497/3539/28400/3507/28385/3543/28466/3538/3514/3500/28468/3503/28423/28392/28424/388077/28396/28426/28394/28442/100423062/28434/3542/28395/3501/28444/28445/28401/28388/28452/28450/28461/28457/3494/28454/28834/28408/28439/102723169/3493/3502/28414/28391/441864/28448/3512
BP	GO:0006910	phagocytosis, recognition	73	0.704009798805349	1.6348684523367	5.54638103242171e-07	6.09955780845847e-05	5.46921259341255e-05	6994	tags=64%, list=19%, signal=52%	28409/3497/3539/28400/3507/28385/3543/28466/3538/3514/3500/28468/3503/28423/28392/28424/388077/28396/28426/28394/28442/100423062/28434/3542/28395/3501/28444/28445/28401/28388/28452/28450/84466/28461/28457/3494/28454/28834/28408/28439/102723169/3493/3502/28414/7287/28391/28448
MF	GO:0003823	antigen binding	147	0.662754730931544	1.58201639768047	3.47232577111975e-09	7.58750104310898e-07	6.80338764884829e-07	7047	tags=50%, list=19%, signal=41%	28883/28896/28409/28907/28797/28916/28893/3497/3539/28400/3507/28385/3543/28466/3538/28937/3514/3500/28912/28809/28815/28820/28468/3503/28423/28392/28424/388077/28396/28913/28426/28778/28813/28299/28394/28442/100423062/28434/28776/3542/28395/3501/28793/28816/28444/28796/28445/28401/28388/28452/28450/28461/28457/10332/3494/28823/28454/28834/28408/28439/102723169/28791/28876/28908/28817/3493/8140/3502/28414/28391/28938/28919/28448/3512
MF	GO:0005549	odorant binding	98	0.651442674859586	1.534151528303	1.059431949028e-05	0.000732094641700115	0.000656437951682933	7958	tags=57%, list=22%, signal=45%	219437/390148/79482/390167/338674/338675/390157/390151/219981/219493/120066/29991/219487/79310/392391/219982/79290/442191/219436/26338/219482/390445/219447/10798/81050/81168/283189/81169/120586/219417/219469/219477/390201/79289/283162/338662/81341/390275/389090/219965/391189/441639/390152/403278/219438/282775/150681/283160/26492/219453/81193/127066/219858/403274/441608/387815
BP	GO:0002433	immune response-regulating cell surface receptor signaling pathway involved in phagocytosis	138	0.639279020970161	1.52422898394825	7.52412590777033e-07	7.60406974554039e-05	6.81824409563346e-05	7427	tags=38%, list=20%, signal=31%	28883/28896/28921/28907/28797/28916/28893/3539/3538/28937/3514/3500/28912/28809/28815/28820/3503/28874/28392/28424/388077/28913/28778/28813/28299/28394/28442/28434/28776/3542/28395/3501/28793/28816/28796/28452/28450/28461/28457/28823/28454/28834/28439/28791/28876/28908/28817/3502/28881/28938/28919/28940/28825
BP	GO:0038096	Fc-gamma receptor signaling pathway involved in phagocytosis	138	0.639279020970161	1.52422898394825	7.52412590777033e-07	7.60406974554039e-05	6.81824409563346e-05	7427	tags=38%, list=20%, signal=31%	28883/28896/28921/28907/28797/28916/28893/3539/3538/28937/3514/3500/28912/28809/28815/28820/3503/28874/28392/28424/388077/28913/28778/28813/28299/28394/28442/28434/28776/3542/28395/3501/28793/28816/28796/28452/28450/28461/28457/28823/28454/28834/28439/28791/28876/28908/28817/3502/28881/28938/28919/28940/28825
BP	GO:0006958	complement activation, classical pathway	126	0.638742155232049	1.51703460873904	3.21312881136697e-06	0.000265083126937775	0.000237688701652893	6994	tags=62%, list=19%, signal=50%	28883/28896/28921/28409/28907/28797/28916/1401/28893/3497/3539/28400/3507/28385/3543/28466/3538/28937/3514/3500/28912/28809/28815/28820/28468/3503/28874/28423/28392/28424/388077/28396/28913/28426/28778/28813/28299/28394/28442/100423062/28434/28776/3542/28395/3501/28793/55061/28816/28444/28796/28445/28401/28388/28452/28450/28461/28457/3494/28823/28454/28834/28408/28439/102723169/28791/28876/28908/28817/3493/3502/28414/715/28881/28391/28938/716/28919/28448
