ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
hsa04144	Endocytosis	252	-0.28201254485739	-1.24241913479137	0.0123324407759195	0.0434880806308741	0.0276711275027557	9280	tags=44%, list=25%, signal=33%	157/26052/22905/1956/2869/11021/60682/8766/2060/377/25978/9135/8729/23325/10890/2352/2263/3799/9798/51534/55048/89853/26286/64411/27131/58533/91782/10565/23527/5867/3106/867/998/7879/7251/64145/116984/830/163/4088/9922/84364/80223/84612/10015/274/83737/387/3133/58513/387680/9559/30845/29934/30844/10193/9727/92421/253725/55737/51652/10938/161/10254/6642/8976/8027/3107/51028/3135/57132/5337/1213/84440/23111/2261/9525/5878/408/9897/147179/116985/84552/22841/3949/116987/9101/10564/8853/3312/3305/5590/3482/51510/26056/7189/1759/9815/6643/8723/11059/155382/9372/9829/3480/7048/1601/8395/23327/440073/6456
hsa00190	Oxidative phosphorylation	120	-0.338767279293904	-1.27260173370581	0.0132464988769563	0.0455136115259525	0.0289599570589329	5767	tags=31%, list=16%, signal=26%	4724/1353/534/1352/4723/4705/4720/518/529/27068/4712/6389/9114/51606/6390/515/1355/535/528/527/7385/526/6392/6391/506/7386/4719/498/51382/479/523/50617/245973/525/496/127124/245972
hsa04142	Lysosome	128	-0.353624688086865	-1.38821952545952	0.00085734787961069	0.00424170552748258	0.00269896423979645	8142	tags=41%, list=22%, signal=32%	6609/2760/175/1174/537/8905/1512/1520/162/5538/26985/57192/1497/8546/8943/1519/5660/8722/8763/3916/10239/1203/4669/9114/2629/4074/1213/1514/51606/2581/164/1200/535/3988/23062/256471/11154/3482/527/2517/411/58511/26503/3373/5641/1513/427/54/1511/23553/9476/50617/245972
hsa01522	Endocrine resistance	96	-0.362042734225687	-1.38026120167704	0.0085317490706625	0.0326644107276793	0.0207841105180049	8075	tags=48%, list=22%, signal=37%	5595/5601/207/54567/5925/182/8202/2475/1432/5747/6654/3479/1027/112/369/673/4893/5469/4855/5603/4851/9611/5291/5290/5567/3845/5599/6655/5602/10000/8503/6300/28514/5594/2353/1565/2064/108/596/3480/107/111/115/595/2852/8647
hsa04068	FoxO signaling pathway	129	-0.371516668678996	-1.45965875114619	0.000894662958389986	0.00424170552748258	0.00269896423979645	6784	tags=45%, list=19%, signal=37%	11345/1432/4088/6654/472/2308/5565/3479/5562/1027/51422/5571/369/673/10110/4893/901/5603/5291/1387/80854/5290/5897/3845/4089/23411/4303/5599/5934/664/3643/1147/6655/5602/10000/2033/5170/8503/6446/10365/6300/1901/5594/5564/23710/3480/7048/5896/595/5563/57818/5106/6517/847/2911/1950/5105/2538
hsa03018	RNA degradation	79	-0.374260108274603	-1.41149244141013	0.0097502842139552	0.0362927245741666	0.0230927784014728	8746	tags=49%, list=24%, signal=38%	29883/54464/51010/9337/80153/22803/23644/57472/1656/170506/55802/28960/3329/22894/131870/7832/23404/80349/5211/4850/5214/64282/219988/2023/246175/10438/115752/23517/9652/10140/3313/23019/5213/10766/132430/340529/2027/154197/645974
hsa00562	Inositol phosphate metabolism	73	-0.424288396034864	-1.48436023817503	0.000917981046992498	0.00424170552748258	0.00269896423979645	9276	tags=52%, list=25%, signal=39%	8776/5298/51763/8898/8396/8897/3631/23236/55613/3705/5294/9107/23007/8821/89869/22876/200576/79837/3632/5291/5290/3707/22908/5289/5287/8867/5286/5297/4534/64768/5336/8395/3613/55586/9651/4329/5288/27124
hsa01230	Biosynthesis of amino acids	75	-0.440004743790209	-1.57183007344752	0.000533508798384905	0.00297875745764905	0.00189536020478848	6088	tags=39%, list=17%, signal=32%	2806/1491/1431/2023/95/3418/26227/5230/27430/10993/5223/5091/48/5213/4144/441531/6470/384/2875/3419/2027/2805/50/1373/5313/229/383/5053/5009
hsa01240	Biosynthesis of cofactors	152	-0.445543929560237	-1.88476513869153	2.11244056875515e-07	2.40404678435719e-06	1.52967627284315e-06	4786	tags=34%, list=13%, signal=29%	51004/125061/27430/23498/1719/8836/4351/1355/64802/50808/200895/124454/211/7364/122481/1738/54578/55163/4522/5372/2235/4144/493911/57026/51109/210/2729/6470/9104/249/248/219/79799/224/54658/10243/7367/54600/23057/54657/145226/26289/212/53354/8630/5313/54490/7363/10941/7366/7365
hsa00330	Arginine and proline metabolism	50	-0.511757662381645	-1.75401154757314	0.000794074430739122	0.00424170552748258	0.00269896423979645	4946	tags=50%, list=14%, signal=43%	4953/26/8659/4846/262/501/112817/4129/55748/1160/223/58510/1159/384/548596/2805/219/1610/224/84735/4843/5625/2628/79814/383
