	mean_treat	mean_ctrl	FoldChange	log2FoldChange	pvalue	padj
RNF4	2.14735130461701	2.06733729365146	1.03870389762293	0.054784445085349	1.34344773340346e-16	2.99265620521892e-15
SNX7	2.40660273295981	2.27793473648708	1.05648449642203	0.079271596331858	2.06562359888463e-13	2.48791754795377e-12
IL4	0.10209998310329	0.129061812782573	0.791093669785159	-0.338079567150432	0.0135915986612471	0.0257242270341139
IFT20	1.75657513368105	1.77855742256146	0.987640382817247	-0.0179422680268696	0.0816359398037366	0.124967851434399
ELAC2	2.12594239323251	2.11789125417621	1.00380148840996	0.00547399040120724	0.459077003068697	0.538798648440536
RAB35	2.2684717012793	2.2015984234161	1.0303748754323	0.0431693204487573	2.35619779169266e-11	1.98577293483464e-10
FNBP1L	2.35842769612764	2.29258496070582	1.02871986711522	0.0408501723721731	7.98347025910764e-05	0.000237877180044479
REXO2	2.23240714619301	2.24069789136636	0.996299927265831	-0.00534797664850844	0.47605903445063	0.554807329359194
DTYMK	1.93003189567566	1.99060344929793	0.969571260592542	-0.0445811588808609	0.000213047261113131	0.000587617011591998
ASNSD1	2.33110688809927	2.27370310510778	1.02524682438201	0.0359712750424296	9.87735758332091e-07	4.03100183304277e-06
FCGRT	2.73249606591257	2.73395683429432	0.999465694423764	-0.000771046010594922	0.891024858973335	0.916064711341073
ILDR2	0.827508647197829	0.669922157305024	1.23523104613639	0.304780918683757	3.38967124673099e-05	0.00010785116852791
ATF7	2.01800470576363	1.91777593087672	1.05226302680787	0.0734953700684076	1.07868606611885e-11	9.6621783529105e-11
CCDC9	1.96680258585919	1.99588158982732	0.985430496420058	-0.0211739750201145	0.0699301973073966	0.1090996601042
KRT33A	0.0497197140422412	0.0535405206641825	0.928637103738565	-0.1068131698839	0.738633394731405	0.791028505617406
LRRC17	1.5245472900028	1.44649752446511	1.05395775949673	0.0758170478235517	0.0299843864434727	0.0519456203870891
C15orf41	0.860082418321099	0.826601955071645	1.04050373102076	0.0572821382741049	0.0216576935231517	0.0390317989546395
CD96	1.3562168477586	1.15114378693784	1.17814721596707	0.236519823103488	3.89678770194902e-08	1.98197460414673e-07
ZFP82	0.964931320992805	0.904486543222286	1.06682772477209	0.0933272233193075	0.000479661642660026	0.0012326584913189
FBXL17	1.83670200535029	1.75523549051937	1.04641343869295	0.0654529740556527	1.73225836708904e-05	5.77695449973565e-05
ARMC3	0.248549459917895	0.208001250501964	1.19494214250192	0.256940766535479	0.0395216140216354	0.0661889628398345
PDE1A	1.41592410476803	1.3826603818768	1.02405776814555	0.0342971015355318	0.415350663304669	0.495771403331094
OR2W3	0.200003133427634	0.147320659446085	1.35760411458672	0.441062842477647	3.03016866414484e-05	9.72042282803508e-05
DMWD	1.76823566066424	1.77088391252637	0.99850455930883	-0.00215907965955541	0.845586885357947	0.879767023078918
FABP5	1.72015109595141	1.70463553302679	1.00910198257869	0.0130719844795669	0.618211443299103	0.686592847940458
KRTCAP2	1.68562923419478	1.7986027499058	0.937188178036014	-0.0935893391459672	4.71015120649382e-08	2.36184584112072e-07
LRRC71	0.259054603155104	0.279399724847405	0.927182742562066	-0.109074380842187	0.347834009583336	0.427672302298449
APCDD1	1.45304040510815	1.44007528561863	1.00900308450467	0.0129305847443653	0.691078539539767	0.751286780475952
AC006538.2	0.00163395209879847	0.000205748368131376	7.94150696619447	2.98941279658316	0.0285818407035746	0.0498282027471921
FAM20C	2.404444353286	2.36757357692317	1.01557323359334	0.0222942769875498	0.129767686356951	0.185520784534899
LETM1	1.79132851444719	1.78008107465885	1.00631849860574	0.00908698867856989	0.454081473980625	0.533782759232534
NOL10	2.02514482113112	1.98582120703616	1.01980219264233	0.0282893449724439	1.77597276972375e-05	5.91566991122305e-05
JPT1	2.14907966154085	2.16661833664768	0.991905046306416	-0.0117260748594185	0.363544902569699	0.443888326037602
RAB21	2.04341792683125	1.98943131099751	1.02713670762861	0.038628211151907	1.08249130892335e-05	3.72578404001525e-05
CD79B	1.53694575095369	1.5264802571617	1.00685596406694	0.00985731314702394	0.733824592948537	0.786870698053823
JAZF1	1.98126867577512	1.87862438551523	1.05463800590012	0.076747893045672	9.06396454464055e-10	5.93012764045873e-09
LYG1	2.15753795951055	2.04784312698136	1.05356603300512	0.0752807389331455	0.0330325943449229	0.0566124013617346
RADIL	0.232086037815856	0.243583388042988	0.952799120171927	-0.0697560138895578	0.382996921967343	0.463496739611844
EFNB1	2.36479893759308	2.35014374510848	1.00623587068455	0.00896852540221278	0.391541808950154	0.471811388933678
SMIM3	2.39595629479703	2.36696974371118	1.01224627022076	0.0175603271892982	0.383769060402797	0.464201124638044
MAP6D1	0.837071169251468	0.84185711700094	0.994315011831792	-0.00822510626922224	0.843117960941973	0.878040006661463
CYP26B1	1.09525958514339	0.999836614637015	1.09543856377076	0.131508574945508	0.0124583036166565	0.0238449514504753
NANS	1.93056576420955	1.97815971485291	0.975940289206173	-0.0351352125719159	1.38400982796476e-05	4.68758945893195e-05
RAB3B	0.162454560114276	0.153747904695375	1.05662942487673	0.0794694915433684	0.725237532871446	0.779288292292865
PRAMEF2	0.00367379907753493	0.00619969476464923	0.592577411791786	-0.754924461023312	0.134524603559161	0.191397032636499
RGPD2	0.082772638955018	0.069881505554238	1.184471317533	0.244243263538961	0.114788475930509	0.167363808178104
TAOK1	1.91981821791606	1.74123518886094	1.10256111879518	0.140858631600235	2.35168951406816e-25	4.54877290562729e-23
TBC1D4	2.01889524544729	1.96247099411231	1.02875163582252	0.040894724684484	0.0144763443204785	0.027248276582028
CCDC68	1.12166901104711	1.10182155360989	1.0180133138367	0.0257564294691924	0.555635393336154	0.630036162529172
NLGN4X	0.589595140955886	0.629076260547139	0.937239533475776	-0.093510285429645	0.205332119850772	0.27375747583462
TRIM39-RPP21	0.0189699947058246	0.0233684809283844	0.811776972750624	-0.300844678440893	0.0642700995745866	0.101223852409636
PRR32	0.00529849669236993	0.00492459705725606	1.07592491949427	0.105577406841983	0.83070413800913	0.86854756153916
SORT1	2.24698459655934	2.15005269514843	1.04508350033915	0.0636182157153301	2.48485259800967e-06	9.53340148364431e-06
FXYD7	0.195165250709307	0.19787264722163	0.986317479700512	-0.0198759932477205	0.844606260513924	0.879027643993395
GPR61	0.0860326042357195	0.0987999818578451	0.870775506411576	-0.199627267604161	0.260711186835193	0.33585583554318
NBEAL1	1.1295819951036	0.846855524801948	1.33385443209782	0.415601229078928	1.29238370535604e-22	1.15287708072308e-20
COX6B1	2.95316707282762	3.06392159706963	0.963852037092616	-0.0531164025157692	4.06411564802194e-34	3.96982816498783e-30
RACK1	3.15080187125704	3.18089251692538	0.990540187853496	-0.0137125860615675	0.000511265211489313	0.00130528975060837
ARHGAP12	1.99832647752126	1.9425424712232	1.02871700728527	0.0408461616902075	0.00011148602480622	0.000324154037894675
GOLGA8T	0.0616644638171309	0.0439111105570593	1.40430207833169	0.489853306037548	0.000163567946045505	0.000462039241461104
OR10G9	0.000840594411233056	0.00127316415346446	0.660240401008527	-0.598936673153174	0.469517647596275	0.548495889699266
ANGPTL4	3.1410459324711	3.03877338224382	1.03365586615471	0.0477559508084352	0.0139532309189779	0.0263550535853381
ZNF229	0.978853472972759	0.914870209599924	1.06993698417704	0.0975258290633766	0.0633152960575703	0.0999375958455759
OXGR1	0.0955880921605055	0.257482775678041	0.371240724389385	-1.42957311488537	2.16829136086197e-06	8.40637825477268e-06
JAML	1.42053310992755	1.22897381935713	1.15586930132541	0.208978275875102	4.15639970091412e-10	2.86923761685718e-09
ZNF135	0.983505752954315	0.94459753623643	1.04119025852312	0.0582337189233104	0.174660935312976	0.238827528473568
PTPRQ	0.0218947062918878	0.0214251203308829	1.02191754136046	0.0312787897493406	0.940971771942175	0.954654369373823
APOD	1.30644763559678	1.40825587038074	0.927706152748759	-0.108260185121199	0.0356122162764962	0.0604553577665649
SNAI2	1.79735737749572	1.66280595686372	1.08091829360882	0.11225747417301	5.14272246784544e-05	0.000158868162763802
BRI3	2.37173542032067	2.40342476373425	0.986814921818337	-0.0191485638150404	0.00258845959407683	0.0057359512964933
E2F6	1.45555197246591	1.39440220193329	1.04385375356395	0.061919601000345	4.81103791614267e-07	2.06431883878241e-06
