	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
GO_CHEMOKINE_BINDING	GO_CHEMOKINE_BINDING	GO_CHEMOKINE_BINDING	33	-0.640135912622695	-1.9923542104029	0.0131578947368421	0.593389296956978	0.589320888790707	1735	tags=45%, list=9%, signal=41%	PDPN/CCR1/ACKR4/CXCR5/CCR3/ITGB3/CCR2/ITGA4/CX3CR1/CXCR1/XCR1/CCR4/CCR8/CXCR2/CCR6
GO_C_C_CHEMOKINE_BINDING	GO_C_C_CHEMOKINE_BINDING	GO_C_C_CHEMOKINE_BINDING	24	-0.65871878232337	-1.90605432521792	0.00833333333333333	0.542056074766355	0.538339618516697	1689	tags=50%, list=9%, signal=46%	CCR1/ACKR4/CXCR5/CCR3/CCR2/CX3CR1/CXCR1/XCR1/CCR4/CCR8/CXCR2/CCR6
GO_G_PROTEIN_COUPLED_CHEMOATTRACTANT_RECEPTOR_ACTIVITY	GO_G_PROTEIN_COUPLED_CHEMOATTRACTANT_RECEPTOR_ACTIVITY	GO_G_PROTEIN_COUPLED_CHEMOATTRACTANT_RECEPTOR_ACTIVITY	26	-0.638778234590102	-1.87517639798587	0.00934579439252336	0.542056074766355	0.538339618516697	1743	tags=50%, list=9%, signal=46%	CMKLR1/CCR1/ACKR4/CXCR5/CCR3/CCR2/CX3CR1/CXCR1/XCR1/CCR4/CCR8/CXCR2/CCR6
GO_PHOSPHOTRANSFERASE_ACTIVITY_FOR_OTHER_SUBSTITUTED_PHOSPHATE_GROUPS	GO_PHOSPHOTRANSFERASE_ACTIVITY_FOR_OTHER_SUBSTITUTED_PHOSPHATE_GROUPS	GO_PHOSPHOTRANSFERASE_ACTIVITY_FOR_OTHER_SUBSTITUTED_PHOSPHATE_GROUPS	19	-0.671424690932387	-1.84964983250026	0.00699300699300699	0.542056074766355	0.538339618516697	4273	tags=63%, list=22%, signal=49%	AASDHPPT/SAMD8/CHPT1/GNPTAB/PIGO/SGMS1/PIGF/CDS1/PIGN/SELENOI/SGMS2/CEPT1
GO_NADPLUS_NUCLEOSIDASE_ACTIVITY	GO_NADPLUS_NUCLEOSIDASE_ACTIVITY	GO_NADPLUS_NUCLEOSIDASE_ACTIVITY	16	-0.686539361735788	-1.80112770445322	0.00578034682080925	0.542056074766355	0.538339618516697	3549	tags=69%, list=18%, signal=56%	IL1RAP/TLR2/SARM1/IL1RL1/IL18R1/CD38/TLR4/TLR10/TLR6/TLR1/IL1RAPL2
GO_BITTER_TASTE_RECEPTOR_ACTIVITY	GO_BITTER_TASTE_RECEPTOR_ACTIVITY	GO_BITTER_TASTE_RECEPTOR_ACTIVITY	20	-0.635591963641371	-1.76376239585206	0.0148148148148148	0.618666666666667	0.614424951267057	1320	tags=45%, list=7%, signal=42%	TAS2R9/TAS2R46/TAS2R43/TAS2R38/TAS2R50/TAS2R13/TAS2R30/TAS2R40/TAS2R3
GO_INOSITOL_1_4_5_TRISPHOSPHATE_BINDING	GO_INOSITOL_1_4_5_TRISPHOSPHATE_BINDING	GO_INOSITOL_1_4_5_TRISPHOSPHATE_BINDING	13	-0.709771659347251	-1.76036480638371	0.0232558139534884	0.734620024125452	0.729583306879986	2867	tags=54%, list=15%, signal=46%	TRPC3/ITPR1/PLCL1/PLCL2/TRPC7/ITPR2/TRPC5
GO_PHOSPHATIDYLINOSITOL_KINASE_ACTIVITY	GO_PHOSPHATIDYLINOSITOL_KINASE_ACTIVITY	GO_PHOSPHATIDYLINOSITOL_KINASE_ACTIVITY	14	-0.698764500745099	-1.7546570430907	0.00515463917525773	0.538144329896907	0.534454693434617	4314	tags=64%, list=22%, signal=50%	PI4K2B/PIK3C2B/PI4KA/PIK3CB/PIK3C2A/PIK3C3/ATM/PIK3CA/PIK3CG
GO_RAB_GUANYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY	GO_RAB_GUANYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY	GO_RAB_GUANYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY	32	-0.556034408423362	-1.74439429738279	0.0121951219512195	0.592564563428247	0.588501809817325	3027	tags=66%, list=16%, signal=56%	WDR41/DENND1C/DENND1A/DENND6A/RAB3GAP1/DENND5A/C9orf72/RIN2/RGP1/DENND4A/RAB3GAP2/ALS2/DENND2C/RIC1/RAB3IP/DENND4C/SH3BP5/DENND1B/SBF2/SMCR8/DENND5B
GO_ADENYLATE_CYCLASE_BINDING	GO_ADENYLATE_CYCLASE_BINDING	GO_ADENYLATE_CYCLASE_BINDING	13	-0.687531308167577	-1.70520462777878	0.027906976744186	0.739788429417422	0.734716276442993	5159	tags=62%, list=26%, signal=45%	ADCY5/AKAP5/CAP2/AKAP12/ADCYAP1R1/ADRB2/AKAP6/ADCY2
