	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
GO_ODORANT_BINDING	GO_ODORANT_BINDING	GO_ODORANT_BINDING	85	0.759310972563421	1.6021940352783	0.00101010101010101	0.15036075036075	0.15036075036075	2056	tags=62%, list=11%, signal=56%	OR5F1/OR8H3/OR5J2/OR5M10/OR5A2/OR8B4/OR5AP2/OR8I2/OR5AR1/OR6B3/OR8K1/OR5AC2/OR5W2/OR8H2/OR8K5/OR5A1/OR8B12/OR6B2/OR8H1/OR5AU1/OR8A1/OR8D2/OR10V1/OR8J1/LCN9/OR5M1/OR5H14/OR5L2/OR9K2/OR5P2/OR11L1/OR5C1/OR5AS1/OR14C36/OR8U1/OR5H2/OR5H1/OR8D4/OBP2A/OR10W1/LCN1/OR8D1/OR5M9/OR9G4/OR8J3/OR5P3/OR8B8/OR5M3/OR8G1/OBP2B/PAEP/OR5D16/OR5L1
GO_HORMONE_ACTIVITY	GO_HORMONE_ACTIVITY	GO_HORMONE_ACTIVITY	118	0.733926060592064	1.55530480085084	0.00100502512562814	0.15036075036075	0.15036075036075	3495	tags=57%, list=18%, signal=47%	INS-IGF2/CSH2/CSH1/GCG/CGB2/GALP/RETNLB/GIP/CGB1/GHRH/CGB3/PRLH/CARTPT/HCRT/GPHB5/UCN2/INSL5/GAST/CGB7/GRP/CSHL1/PENK/GH1/INHA/PTH/LHB/VGF/MLN/AMH/CGA/ADIPOQ/NPPC/ASIP/TRH/CORT/NPY/INSL3/GPHA2/CCL25/GNRH2/NPPA/AVP/SCT/PRL/ANGPTL8/GAL/INSL4/PYY/CCK/UCN/AGRP/C1QTNF12/GUCA2A/VIP/POMC/FSHB/GNRH1/EPO/RLN3/OXT/PNOC/LEP/NPPB/UTS2/TTR/GHRL/TSHB
GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_OLFACTORY_RECEPTOR_ACTIVITY	364	0.718329177449738	1.53355186512798	0.000999000999000999	0.15036075036075	0.15036075036075	2321	tags=58%, list=12%, signal=52%	OR4C12/OR2M2/OR11H2/OR4C5/OR5F1/OR2M3/OR10K1/OR8H3/OR5J2/OR5M10/OR10D3/OR5A2/OR4D11/OR1I1/OR56A3/OR8B4/OR5AP2/OR2Z1/OR8I2/OR6C68/OR2G2/OR2T6/OR5AR1/OR6B3/OR8K1/OR56A1/OR2B3/OR6C74/OR7C2/OR5AC2/OR4F5/OR10G3/OR6C76/OR2G3/OR7G1/OR6C75/OR7D4/OR7G2/OR51D1/OR4Q3/OR1A1/OR51A7/OR5W2/OR10H5/OR8H2/OR4X2/OR4D5/OR8K5/OR2M5/OR5A1/OR8B12/OR11H1/OR52A1/OR6S1/OR6Q1/OR2V2/OR10Z1/OR6B2/OR8H1/OR5AU1/OR4K2/OR7A17/OR8A1/OR8D2/OR4D10/OR11G2/OR2F2/OR10V1/OR4M1/OR3A3/OR13C8/OR4D9/OR4K5/OR4D1/OR7G3/OR4K1/OR6N2/OR1A2/OR8J1/OR51F2/OR1E2/OR2B2/OR7A10/OR6M1/OR4C13/OR10A7/OR6K2/OR5M1/OR4C15/OR1M1/OR5H14/OR6C65/OR5L2/OR2M4/OR9K2/OR5P2/OR1K1/OR11L1/OR2Y1/OR5C1/OR2T27/OR10A3/OR6C3/OR2M7/OR10H1/OR51V1/OR10P1/OR4K14/OR5AS1/OR4F6/OR14C36/OR52E2/OR2C3/OR7C1/OR10J5/OR5T2/OR4C46/OR4C11/OR2AJ1/OR56A5/OR10A6/OR2H2/OR4N2/OR4P4/OR10J1/OR4N5/OR8U1/OR4L1/OR4D6/OR6X1/OR4A16/OR7E24/OR10R2/OR52E5/OR9G1/OR7A5/OR52L1/OR52E6/OR11A1/OR6N1/OR6P1/OR4K15/OR1F1/OR5H2/OR5H1/OR8D4/OR1J1/OR2J1/OR1D2/OR52A5/OR4E2/OR52M1/OR2K2/OR52J3/OR2AP1/OR10W1/OR13D1/OR13F1/OR8D1/OR6Y1/OR1D5/OR51A4/OR5T1/OR5M9/OR10G7/OR6C4/OR9G4/OR8J3/OR13J1/OR6C2/OR5P3/OR2J2/OR8B8/OR5M3/OR5T3/OR10A2/OR1E1/OR52B2/OR6C70/OR10H2/OR2W1/OR2V1/OR6K3/OR4A15/OR56A4/OR13C3/OR8G1/OR10G9/OR2B6/OR6K6/OR2A14/OR51B5/OR11H4/OR6C1/OR5D16/OR4F17/OR2T1/OR5L1/OR51Q1/OR6J1/OR4E1/OR51L1/OR52I2/OR5B12/OR13H1/OR2T12/OR4S2/OR5AK2/OR10G8/OR51I1/OR13C2
GO_INHIBITORY_EXTRACELLULAR_LIGAND_GATED_ION_CHANNEL_ACTIVITY	GO_INHIBITORY_EXTRACELLULAR_LIGAND_GATED_ION_CHANNEL_ACTIVITY	GO_INHIBITORY_EXTRACELLULAR_LIGAND_GATED_ION_CHANNEL_ACTIVITY	15	0.828507993709587	1.52597376852629	0.00735294117647059	0.696524064171123	0.696524064171123	1684	tags=60%, list=9%, signal=55%	GABRG2/GABRA6/GABRA2/GABRA1/GABRA3/GLRA3/GABRG3/GLRA1/GABRA4
GO_CYSTEINE_TYPE_ENDOPEPTIDASE_INHIBITOR_ACTIVITY	GO_CYSTEINE_TYPE_ENDOPEPTIDASE_INHIBITOR_ACTIVITY	GO_CYSTEINE_TYPE_ENDOPEPTIDASE_INHIBITOR_ACTIVITY	58	0.722566322759651	1.50421931847442	0.00311203319502075	0.405342323651452	0.405342323651452	2402	tags=33%, list=12%, signal=29%	BIRC8/CST9L/SERPINB13/CST9/CARD18/CSTL1/CST8/TFAP2B/AHSG/SERPINB3/CST11/LCN1/FETUB/HRG/CST5/CST6/AVP/CST1/CST2
GO_PROTON_CHANNEL_ACTIVITY	GO_PROTON_CHANNEL_ACTIVITY	GO_PROTON_CHANNEL_ACTIVITY	25	0.761707065879174	1.50132506238733	0.0109769484083425	0.75926237318536	0.75926237318536	2171	tags=20%, list=11%, signal=18%	OTOP3/OTOP1/OTOP2/ASIC5/NOX5
GO_BENZODIAZEPINE_RECEPTOR_ACTIVITY	GO_BENZODIAZEPINE_RECEPTOR_ACTIVITY	GO_BENZODIAZEPINE_RECEPTOR_ACTIVITY	11	0.844679210734294	1.48703200878241	0.0118577075098814	0.75926237318536	0.75926237318536	1684	tags=64%, list=9%, signal=58%	GABRG2/GABRA6/GABRA2/GABRA1/GABRA3/GABRG3/GABRA4
GO_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_BINDING	GO_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_BINDING	GO_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_BINDING	25	0.754431939412766	1.48698578396217	0.013172338090011	0.75926237318536	0.75926237318536	2930	tags=48%, list=15%, signal=41%	FGF6/FGF3/FGF4/FGF8/FGF23/FGF19/FGF21/FGF16/FGF22/FGF17/FGF18/FGF10
GO_INTRONIC_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	GO_INTRONIC_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	GO_INTRONIC_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING	16	0.791033366880355	1.46337324519958	0.0205811138014528	0.853119371213362	0.853119371213362	1017	tags=25%, list=5%, signal=24%	VAX1/NKX2-1/NOTO/GRHL2
GO_SERINE_TYPE_ENDOPEPTIDASE_INHIBITOR_ACTIVITY	GO_SERINE_TYPE_ENDOPEPTIDASE_INHIBITOR_ACTIVITY	GO_SERINE_TYPE_ENDOPEPTIDASE_INHIBITOR_ACTIVITY	95	0.691473207203528	1.4574976433934	0.00100908173562059	0.15036075036075	0.15036075036075	3594	tags=48%, list=18%, signal=40%	WFDC9/SERPINB13/SERPINB12/SERPINB5/SERPINB3/SERPINB4/SPINT3/SERPINA11/WFDC8/WFDC11/EPPIN/SPINK8/WFDC10A/SERPINB11/SERPINA3/ITIH6/A2ML1/WFDC12/HRG/SPINK4/WFDC5/SERPINA12/COL7A1/WFDC10B/SERPINB10/WFDC3/SERPINA4/SERPINA9/HMSD/ITIH4/SERPINB2/SPINK6/SERPINI2/SERPINC1/PI3/SERPIND1/ITIH2/SERPINA10/SERPINA5/SLPI/WFDC1/SPINT4/WFIKKN1/PCSK1N/SPINK2/ITIH3
