gene	nominal.p.value	adjusted.p.value
DNMT1	9.76080233096108e-20	1.17129627971533e-18
HDAC1	0.00109238353290149	0.00131086023948179
HDAC2	6.11052178510562e-08	9.16578267765843e-08
HDAC3	1.13764087892033e-12	2.27528175784066e-12
HDAC4	1.81944915461922e-11	3.11905569363296e-11
HDAC5	0.0941337034262447	0.102691312828631
HDAC6	0.972038683738923	0.972038683738923
HDAC7	6.49684229370136e-17	3.89810537622082e-16
HDAC8	0.000144382236927376	0.000192509649236501
HDAC9	1.02141178639419e-14	3.06423535918256e-14
HDAC10	1.00761748049209e-14	3.06423535918256e-14
HDAC11	1.69911672089725e-13	4.07788013015339e-13
