,aDCs,APC_co_inhibition,APC_co_stimulation,B_cells,CCR,CD8+_T_cells,Check-point,Cytolytic_activity,DCs,HLA,iDCs,Inflammation-promoting,Macrophages,Mast_cells,MHC_class_I,Neutrophils,NK_cells,Parainflammation,pDCs,T_cell_co-inhibition,T_cell_co-stimulation,T_helper_cells,Tfh,Th1_cells,Th2_cells,TIL,Treg,Type_I_IFN_Reponse,Type_II_IFN_Reponse
TCGA-A3-3306-01A-01R-0864-07,0.557499287,0.793574637,0.783455542,0.687235237,0.684012139,0.804171798,0.745543351,0.894283337,0.693061984,0.942009135,0.610254181,0.781998472,0.786599236,0.673271141,0.986275905,0.802410985,0.705403369,0.842415081,0.726816826,0.745630111,0.714421641,0.943869009,0.583885737,0.671271406,0.666294836,0.791871021,0.833212116,0.833275993,0.799254712
TCGA-A3-3329-01A-01R-0864-07,0.610832965,0.813531268,0.815755547,0.668715127,0.694093229,0.893143277,0.786087781,0.918702745,0.674084225,0.958119342,0.603926592,0.805256978,0.79867735,0.625731292,0.996588111,0.79584795,0.672720186,0.847979244,0.768064891,0.772244288,0.768273455,0.954108492,0.627961988,0.651164443,0.700696628,0.817843217,0.846413803,0.835048611,0.817748334
TCGA-B8-5550-01A-01R-1541-07,0.580123635,0.838162375,0.792608342,0.641470788,0.695086408,0.870895494,0.769437842,0.888051852,0.73377132,0.94484486,0.683092649,0.784125158,0.854684419,0.718978793,0.994490038,0.793274463,0.639747257,0.869901011,0.750348006,0.749767492,0.742713625,0.968691403,0.662669698,0.635919258,0.661555796,0.800263583,0.846310617,0.793826508,0.839698545
TCGA-A3-3378-01A-02R-1325-07,0.610786407,0.879249012,0.7915313,0.736491198,0.712036195,0.945991589,0.796068723,0.92301614,0.645080577,0.978648875,0.594826146,0.823321245,0.882773239,0.642605909,0.997313359,0.860820851,0.641699153,0.889245335,0.755212119,0.82318056,0.795558764,0.98704779,0.77569036,0.717622172,0.681189662,0.857747342,0.860592941,0.815342966,0.833354053
TCGA-A3-3343-01A-01R-0864-07,0.725908694,0.81975983,0.804597958,0.693144722,0.700735292,0.805783386,0.793136893,0.950551097,0.766589899,0.951331564,0.668911506,0.811971811,0.82420883,0.684831088,0.995148498,0.825562244,0.70683145,0.870050873,0.77487762,0.778528569,0.766481165,0.976199047,0.611176687,0.678320169,0.699433984,0.826100678,0.839053965,0.854918351,0.845915954
TCGA-B0-5100-01A-01R-1420-07,0.535705739,0.777643072,0.721558157,0.64159435,0.661002127,0.736190276,0.702149968,0.875591624,0.584909603,0.896759071,0.435982643,0.718582563,0.75438168,0.705996641,0.976558197,0.771738122,0.630117895,0.844762056,0.708718538,0.642303866,0.679555813,0.891865798,0.506899147,0.559859001,0.652271845,0.741833998,0.807125975,0.833638075,0.81614429
TCGA-CJ-4869-01A-02R-1426-07,0.629483662,0.850450851,0.807814329,0.757379227,0.724723258,0.986752987,0.817082737,0.983556146,0.762597311,0.974339336,0.728201431,0.88240482,0.825712562,0.725877185,0.997515951,0.810323949,0.705355527,0.881602519,0.820627248,0.825994258,0.828036186,0.982036142,0.798746824,0.745948536,0.751146107,0.875628692,0.857586174,0.851887104,0.826936454
TCGA-CJ-4895-01A-01R-1305-07,0.598692086,0.810696936,0.762214153,0.637608299,0.709662778,0.898862451,0.763906145,0.929732433,0.67843955,0.964702019,0.514072309,0.807526722,0.865060775,0.599262155,0.993657348,0.7893538,0.663110293,0.885746875,0.774481378,0.753791725,0.757544498,0.972071808,0.721175404,0.68994866,0.705896305,0.816656484,0.841035425,0.871953718,0.814659149
TCGA-B0-5691-01A-11R-1541-07,0.580546953,0.819552706,0.762923512,0.748653316,0.696261576,0.837091441,0.761592918,0.884630605,0.74073293,0.939897561,0.686762421,0.786440989,0.810230991,0.768958106,0.991811759,0.809020769,0.608615424,0.868118234,0.761380123,0.745421202,0.726809003,0.965035849,0.676542939,0.637797409,0.688053722,0.817737096,0.837639609,0.831857039,0.852794626
TCGA-B0-5121-01A-02R-1420-07,0.589194077,0.804061286,0.79348261,0.678793574,0.68621204,0.886382467,0.766022426,0.967643311,0.662905826,0.935938044,0.332699558,0.815289695,0.818840602,0.774014275,0.99275401,0.816616972,0.714329689,0.861793361,0.742798021,0.730499811,0.758053596,0.966254367,0.649273516,0.661251064,0.650771763,0.817494352,0.83196848,0.855351798,0.861839601
TCGA-B0-5098-01A-01R-1420-07,0.709458354,0.645113768,0.651738416,0.522719368,0.634436521,0.773433694,0.636180131,0.730523091,0.487044446,0.873681228,0.433852929,0.70592667,0.766610163,0.454277465,0.990016978,0.688331438,0.374161696,0.830500209,0.614590784,0.579940621,0.597817489,0.769070613,0.564474148,0.539969986,0.480219758,0.658839636,0.786022684,0.805043739,0.682340394
TCGA-A3-3308-01A-02R-1325-07,0.60013146,0.827959781,0.765676785,0.624426752,0.682610312,0.799533567,0.742641538,0.859803927,0.723448806,0.934068961,0.534038556,0.754542342,0.813997155,0.657674551,0.990539133,0.761031038,0.53546234,0.866754102,0.73415834,0.734647454,0.723506166,0.962520198,0.557079773,0.607070542,0.603047203,0.791135332,0.831193761,0.831924889,0.852088204
TCGA-BP-4807-01A-01R-1305-07,0.740257415,0.820054891,0.787761314,0.683386504,0.705181245,0.771586263,0.754794097,0.852527597,0.745342998,0.949821855,0.682249047,0.748528302,0.871954729,0.756537978,0.988251859,0.809474543,0.675032096,0.869646519,0.760151867,0.721894236,0.704314768,0.975078797,0.56848851,0.659345206,0.640363641,0.792956166,0.837812639,0.854696936,0.837434146
TCGA-B0-5707-01A-11R-1541-07,0.574968514,0.764531305,0.760655675,0.678734624,0.685967067,0.767989669,0.722830146,0.800583407,0.722439738,0.942075394,0.723809884,0.72489632,0.855161827,0.773719578,0.985457912,0.762075967,0.530340766,0.83866265,0.741231655,0.688675375,0.678066848,0.932804078,0.648211281,0.614799424,0.578810673,0.769509966,0.815162148,0.777019553,0.802156205
TCGA-BP-4971-01A-01R-1334-07,0.830860064,0.852377997,0.807507796,0.682435688,0.699045931,0.831293653,0.790769539,0.892412582,0.77348864,0.97245614,0.747141811,0.802574933,0.861169321,0.66301217,0.995832329,0.790346304,0.60341152,0.87502319,0.734966166,0.786005679,0.809724168,0.982743669,0.606368375,0.696297721,0.633419347,0.839109476,0.837963654,0.834462525,0.783230526
TCGA-B8-4620-01A-02R-1325-07,0.644637973,0.833460248,0.775315059,0.642338933,0.707483149,0.770741162,0.764770883,0.86413239,0.696275993,0.942386753,0.496044125,0.745776591,0.859829601,0.668893573,0.990488262,0.853176712,0.632828727,0.888305889,0.753098328,0.749369836,0.73819747,0.96124272,0.600617447,0.624802285,0.670302794,0.794124473,0.849234349,0.8950886,0.812641509
TCGA-BP-4967-01A-01R-1334-07,0.587210768,0.764547919,0.773366272,0.64150195,0.667676629,0.820916596,0.73902215,0.878103971,0.641945998,0.936067316,0.531396824,0.735194577,0.831461333,0.739637233,0.985437368,0.766677106,0.665458287,0.850682706,0.718618013,0.70521697,0.683847495,0.948035555,0.517337362,0.613828428,0.61390072,0.778338321,0.833918673,0.808574163,0.845184084
TCGA-BP-5198-01A-01R-1426-07,0.585074664,0.812474671,0.791877621,0.720292703,0.72009622,0.889310841,0.78125563,0.913641352,0.722825745,0.945075204,0.653335779,0.792630123,0.881928084,0.647730628,0.993354139,0.797996775,0.64973139,0.869616257,0.749718374,0.769268483,0.767844531,0.971639431,0.704693213,0.675970515,0.7060483,0.828003311,0.850243495,0.806271486,0.830803688
TCGA-BP-4326-01A-01R-1289-07,0.563701951,0.795810136,0.722934919,0.634821837,0.691813865,0.782238471,0.731529653,0.873484625,0.670800239,0.918156452,0.466990415,0.747329561,0.82771842,0.770347474,0.989634132,0.811758157,0.63901588,0.867670607,0.696600205,0.720960784,0.699338054,0.942768412,0.589589387,0.573467613,0.641178747,0.775360176,0.834145144,0.823890748,0.868457846
TCGA-CJ-4904-01A-02R-1426-07,0.605039198,0.829178645,0.761928536,0.679969248,0.701894094,0.880938442,0.76206662,0.925489497,0.75115755,0.948236202,0.612558028,0.822189285,0.840954653,0.710487627,0.996406214,0.804503875,0.644198896,0.8802071,0.779880944,0.756726007,0.739537165,0.960771035,0.638763711,0.653834584,0.660647611,0.813039046,0.848027986,0.835029989,0.852681841
TCGA-CZ-4853-01A-01R-1426-07,0.600063357,0.807140627,0.786243908,0.675492028,0.68567859,0.766751498,0.762848102,0.895511265,0.684943579,0.94635087,0.633511307,0.775261435,0.78180979,0.648813586,0.991181943,0.780543185,0.689710883,0.852895279,0.751246012,0.752041862,0.746589527,0.948271397,0.52424363,0.676784926,0.658440837,0.798869884,0.82954001,0.823733869,0.831293869
TCGA-A3-3387-01A-01R-1541-07,0.573822303,0.812039793,0.79210287,0.687809834,0.701749272,0.80161684,0.766389152,0.877283402,0.740792767,0.949523402,0.768012396,0.758438937,0.837961141,0.704417637,0.991863447,0.812860852,0.661114114,0.870418189,0.750643735,0.748592642,0.751808293,0.97749618,0.592316924,0.671540139,0.64395686,0.818733851,0.848007234,0.840967696,0.8472037
TCGA-A3-3326-01A-01R-0864-07,0.650314525,0.850438177,0.784212053,0.711762133,0.702720109,0.825043834,0.792657671,0.929840868,0.76192539,0.95639434,0.803113114,0.813083874,0.835870114,0.781088278,0.996693126,0.822876884,0.628328542,0.863141609,0.782726702,0.789150263,0.784912416,0.984807289,0.560882016,0.675245436,0.673367805,0.846834533,0.846454843,0.870961095,0.806882461
TCGA-BP-4784-01A-01R-1305-07,0.565948188,0.778268363,0.731313215,0.703892113,0.686958563,0.764569957,0.728338793,0.809242632,0.820937459,0.91505086,0.730662781,0.720883153,0.823333799,0.770745458,0.985625697,0.761488358,0.592256898,0.868133936,0.720118137,0.668258614,0.692535987,0.925709158,0.571737292,0.575475358,0.637426948,0.759136376,0.836650885,0.837080171,0.869865543
