	ImmClust
TCGA-A3-3306-01A-01R-0864-07	C1
TCGA-CZ-4853-01A-01R-1426-07	C1
TCGA-CJ-4644-01A-02R-1325-07	C1
TCGA-EU-5907-01A-11R-1672-07	C1
TCGA-CZ-5463-01A-01R-1503-07	C1
TCGA-B8-5546-01A-01R-1541-07	C1
TCGA-B8-A54E-01A-11R-A266-07	C1
TCGA-B0-5711-01A-11R-1672-07	C1
TCGA-CZ-5451-01A-01R-1503-07	C1
TCGA-BP-5180-01A-01R-1426-07	C1
TCGA-CJ-4639-01A-02R-1325-07	C1
TCGA-B8-4619-01A-02R-1325-07	C1
TCGA-CJ-4892-01A-01R-1305-07	C1
TCGA-B0-5712-01A-11R-1672-07	C1
TCGA-B0-4834-01A-01R-1305-07	C1
TCGA-AK-3447-01A-01R-1766-07	C1
TCGA-B0-5120-01A-01R-1420-07	C1
TCGA-B8-4154-01A-01R-1188-07	C1
TCGA-CJ-6030-01A-11R-1672-07	C1
TCGA-B2-3923-01A-02R-A277-07	C1
TCGA-B0-5699-01A-11R-1541-07	C1
TCGA-B0-4814-01A-01R-1277-07	C1
TCGA-AK-3465-01A-02R-1325-07	C1
TCGA-BP-4170-01A-02R-1289-07	C1
TCGA-A3-3311-01A-02R-1325-07	C1
TCGA-BP-4976-01A-01R-1334-07	C1
TCGA-B2-4099-01A-02R-1188-07	C1
TCGA-B2-3923-01B-10R-A277-07	C1
TCGA-DV-5566-01A-01R-1541-07	C1
TCGA-BP-4343-01A-02R-1289-07	C1
TCGA-BP-4329-01A-02R-1289-07	C1
TCGA-B2-3924-01A-02R-1325-07	C1
TCGA-B2-3923-01A-02R-1325-07	C1
TCGA-BP-5176-01A-01R-1426-07	C1
TCGA-A3-3328-01A-01R-0864-07	C1
TCGA-CW-6090-01A-11R-1672-07	C1
TCGA-AK-3450-01A-02R-1277-07	C1
TCGA-BP-5194-01A-02R-1426-07	C1
TCGA-BP-4963-01A-01R-1334-07	C1
TCGA-BP-4165-01A-02R-1289-07	C1
TCGA-CZ-5453-01A-01R-1503-07	C1
TCGA-BP-4164-01A-02R-1325-07	C1
TCGA-CZ-5454-01A-01R-1503-07	C1
TCGA-BP-5202-01A-02R-1426-07	C1
TCGA-CZ-5470-01A-01R-1503-07	C1
TCGA-AK-3440-01A-02R-1277-07	C1
TCGA-CZ-5465-01A-01R-1503-07	C1
TCGA-B8-5549-01A-01R-1541-07	C1
TCGA-A3-3374-01A-02R-1325-07	C1
TCGA-CJ-5680-01A-11R-1541-07	C1
TCGA-B0-5402-01A-01R-1503-07	C1
TCGA-A3-3307-01A-01R-0864-07	C1
TCGA-CZ-5460-01A-01R-1503-07	C1
TCGA-BP-4994-01A-01R-1334-07	C1
TCGA-CJ-5675-01A-11R-1541-07	C1
TCGA-AK-3429-01A-02R-1325-07	C1
TCGA-B0-5117-01A-01R-1420-07	C1
TCGA-CZ-4859-01A-02R-1426-07	C1
TCGA-CW-5581-01A-02R-1541-07	C1
TCGA-AK-3427-01A-01R-0864-07	C1
TCGA-BP-4763-01A-01R-1289-07	C1
TCGA-B0-5119-01A-02R-1420-07	C1
TCGA-CJ-5684-01A-11R-1541-07	C1
TCGA-A3-3367-01A-02R-1420-07	C1
TCGA-BP-4995-01A-01R-1334-07	C1
TCGA-CJ-4870-01A-01R-1305-07	C1
TCGA-BP-4975-01A-01R-1334-07	C1
TCGA-CW-5585-01A-01R-1541-07	C1
TCGA-CJ-5678-01A-11R-1541-07	C1
TCGA-B8-A54H-01A-11R-A33J-07	C1
TCGA-A3-A8OW-01A-11R-A37O-07	C1
TCGA-BP-5183-01A-01R-1426-07	C1
TCGA-A3-A8OV-01A-11R-A37O-07	C1
TCGA-B8-5159-01A-01R-1420-07	C1
TCGA-B2-5639-01A-01R-1541-07	C1
TCGA-B8-A7U6-01A-12R-A37O-07	C1
TCGA-CZ-5464-01A-01R-1503-07	C1
TCGA-CJ-4640-01A-02R-1325-07	C1
TCGA-A3-3363-01A-01R-0864-07	C1
TCGA-BP-5181-01A-01R-1426-07	C1
TCGA-B2-5633-01A-01R-A277-07	C1
TCGA-CZ-4864-01A-01R-1503-07	C1
TCGA-A3-3313-01A-02R-1325-07	C1
TCGA-BP-4756-01A-01R-1289-07	C1
TCGA-B0-4828-01A-01R-1277-07	C1
TCGA-B8-4151-01A-01R-1188-07	C1
TCGA-A3-3352-01A-01R-0864-07	C1
TCGA-B0-5694-01A-11R-1541-07	C1
TCGA-B0-5116-01A-02R-1420-07	C1
TCGA-AK-3433-01A-02R-1277-07	C1
TCGA-A3-3335-01A-01R-0864-07	C1
TCGA-B0-5399-01A-01R-1503-07	C1
TCGA-B0-5692-01A-11R-1541-07	C1
TCGA-B0-5713-01A-11R-1672-07	C1
TCGA-AK-3455-01A-01R-0864-07	C1
TCGA-B0-5703-01A-11R-1541-07	C1
TCGA-B4-5377-01A-01R-1503-07	C1
TCGA-BP-4342-01A-01R-1289-07	C1
TCGA-CJ-4874-01A-01R-1305-07	C1
TCGA-AK-3428-01A-02R-1277-07	C1
TCGA-CJ-5681-01A-11R-1541-07	C1
TCGA-AK-3443-01A-02R-1325-07	C1
TCGA-BP-5192-01A-01R-1426-07	C1
TCGA-BP-4334-01A-01R-1289-07	C1
TCGA-A3-3343-01A-01R-0864-07	C2
TCGA-B0-5100-01A-01R-1420-07	C2
TCGA-B0-5121-01A-02R-1420-07	C2
TCGA-BP-4971-01A-01R-1334-07	C2
TCGA-BP-4784-01A-01R-1305-07	C2
TCGA-B0-5400-01A-01R-1503-07	C2
TCGA-BP-5010-01A-02R-1420-07	C2
TCGA-CJ-6033-01A-11R-1672-07	C2
TCGA-BP-4969-01A-01R-1334-07	C2
TCGA-BP-5170-01A-01R-1426-07	C2
TCGA-B0-4821-01A-01R-1503-07	C2
TCGA-B0-4813-01A-01R-1277-07	C2
TCGA-CJ-4916-01A-01R-1426-07	C2
TCGA-BP-5199-01A-01R-1426-07	C2
TCGA-B0-4844-01A-01R-1277-07	C2
TCGA-G6-A8L7-01A-11R-A37O-07	C2
TCGA-B0-5088-01A-01R-1334-07	C2
TCGA-BP-4968-01A-01R-1334-07	C2
TCGA-BP-4352-01A-01R-1289-07	C2
TCGA-DV-A4VZ-01A-11R-A266-07	C2
TCGA-B0-4699-01A-01R-1277-07	C2
TCGA-B0-4945-01A-01R-1420-07	C2
TCGA-B0-4842-01A-02R-1420-07	C2
TCGA-B8-4153-01B-11R-1672-07	C2
TCGA-AS-3778-01A-01R-A32Z-07	C2
TCGA-BP-4981-01A-01R-1334-07	C2
TCGA-BP-5173-01A-01R-1426-07	C2
TCGA-BP-5007-01A-01R-1334-07	C2
TCGA-B0-5092-01A-01R-1420-07	C2
TCGA-CJ-5683-01A-11R-1541-07	C2
TCGA-G6-A5PC-01A-11R-A33J-07	C2
TCGA-BP-4341-01A-01R-1289-07	C2
TCGA-BP-4795-01A-02R-1420-07	C2
TCGA-AK-3451-01A-02R-1188-07	C2
TCGA-CZ-5987-01A-11R-1672-07	C2
TCGA-MM-A564-01A-11R-A266-07	C2
TCGA-AK-3458-01A-01R-1503-07	C2
TCGA-BP-5191-01A-01R-1426-07	C2
TCGA-G6-A8L8-01A-21R-A37O-07	C2
TCGA-AK-3434-01A-02R-1277-07	C2
TCGA-B8-A54I-01A-21R-A33J-07	C2
TCGA-BP-4960-01A-01R-1334-07	C2
TCGA-BP-5185-01A-01R-1426-07	C2
TCGA-B0-4822-01A-01R-1277-07	C2
TCGA-BP-4799-01A-01R-1305-07	C2
TCGA-BP-4177-01A-02R-1420-07	C2
TCGA-CZ-4858-01A-01R-1305-07	C2
TCGA-B0-5102-01A-01R-1420-07	C2
TCGA-BP-4167-01A-02R-1325-07	C2
TCGA-AK-3460-01A-02R-1277-07	C2
TCGA-CJ-4902-01A-01R-1426-07	C2
TCGA-CJ-4882-01A-02R-1426-07	C2
TCGA-AK-3453-01A-02R-1277-07	C2
TCGA-B0-4841-01A-01R-1277-07	C2
TCGA-CJ-5679-01A-11R-1541-07	C2
TCGA-B0-4845-01A-01R-1277-07	C2
TCGA-CJ-4876-01A-01R-1305-07	C2
TCGA-BP-4337-01A-01R-1289-07	C2
TCGA-B0-5700-01A-11R-1541-07	C2
TCGA-B4-5378-01A-01R-1503-07	C2
TCGA-BP-4351-01A-01R-1289-07	C2
TCGA-BP-4774-01A-01R-1289-07	C2
TCGA-B0-4688-01A-01R-1277-07	C2
TCGA-BP-4335-01A-01R-1289-07	C2
TCGA-B0-4839-01A-01R-1305-07	C2
TCGA-CZ-4865-01A-02R-1503-07	C2
TCGA-B0-4843-01A-01R-1277-07	C2
TCGA-B0-5083-01A-02R-1420-07	C2
TCGA-BP-5000-01A-01R-1334-07	C2
TCGA-B0-5106-01A-01R-1420-07	C2
TCGA-B0-4697-01A-01R-1277-07	C2
TCGA-BP-4760-01A-02R-1420-07	C2
TCGA-BP-4776-01A-01R-1289-07	C2
TCGA-B0-5085-01A-01R-1334-07	C2
TCGA-A3-3380-01A-01R-0864-07	C2
TCGA-B0-4691-01A-01R-1277-07	C2
TCGA-CJ-5672-01A-11R-1541-07	C2
TCGA-CJ-5677-01A-11R-1541-07	C2
