	5A	7A	8A	9A	10A	18A	19A	22A	23A	25A	31A	37A	42A	43A	47A	50A	6B	18B	22B	27B	37B	2C	3C	4C	6C1	6C2	8C	9C	15C	16C	18C	24C	25C	49C	50C	52C	54C	1D	3D	4D	7D	9D	16D	19D	24D	40D	47D
ACO2	9.795	10.35	10.35	9.471	10.28	10.74	9.424	11.02	9.905	9.974	9.798	10.26	10.02	10.27	9.806	11.08	10.08	12.05	10.92	10.26	10.16	10.25	9.856	9.435	10.39	10.34	10.38	9.843	9.872	10.51	11.87	9.457	10.25	10.05	10.9	7.237	10.58	9.227	10.9	9.452	10.44	10.31	10.48	10.38	10.18	10.7	10.13
ACTB	15.25	15.72	15.34	15.18	15.19	15.38	14.04	15.36	14.79	15.67	15.15	16.23	15.52	15.22	15.7	15.6	14.83	16.64	15.6	15.89	15.54	15.67	15.73	15.65	15.79	14.98	15.43	15.23	15.89	15.48	18.08	14.78	14.89	15.09	15.88	14.38	15.64	15	17.27	14.14	15.84	15.74	15.44	14.66	15.85	15.46	15.85
ACVR1C	5.603	8.303	7.298	4.851	5.177	4.329	6.177	5.578	4.347	4.454	6.385	4.926	4.097	7.155	5.566	7.671	4.871	0.2619	5.388	6.905	5.478	4.854	5.885	5.907	7.467	6.95	5.084	5.758	6.083	8.276	8.555	4.589	4.5	4.33	8.617	8.682	8.076	5.192	7.115	4.615	5.438	7.316	8.698	6.324	6.277	4.872	7.138
ACVR2A	7.545	9.168	9.345	8.11	9.563	9.123	7.137	7.771	8.178	8.41	7.587	8.833	7.768	8.338	8.797	7.288	7.803	9.604	8.165	8.368	8.884	8.024	8.473	8.464	7.305	6.003	9.071	7.931	7.915	7.658	9.859	7.626	7.629	6.707	8.054	7.828	7.591	7.494	9.328	8.536	9.261	9.437	7.716	7.401	7.846	8.119	7.27
ACVR2B	6.173	6.846	6.604	6.632	5.886	6.067	7.226	7.848	6.175	6.177	7.555	7.16	7.257	6.461	7.212	8.01	5.241	8.909	6.303	7.048	6.744	7.152	8.216	6.638	6.116	5.521	6.33	7.044	7.315	7.919	11.34	7.401	5.845	6.861	7.892	9.837	7.306	9.559	6.968	8.095	6.13	6.236	7.133	7.189	6.71	8.374	7.352
ADA	6.532	8.254	7.986	6.805	6.277	7.806	6.66	5.578	6.558	7.476	7.419	7.466	7.304	8.03	7.759	6.985	6.879	8.175	6.485	8.536	7.077	6.059	7.118	8.186	7.031	5.845	7.698	7.213	7.931	7.721	9.13	7.085	6.118	6.652	7.374	3.741	7.616	6.425	7.903	7.864	6.86	7.867	7.795	7.308	8.884	7.852	7.85
AIM2	6.428	6.058	4.45	5.568	4.692	6.6	8.672	6.43	6.065	7.486	6.938	6.801	6.846	3.496	7.383	5.28	6.367	5.306	9.65	9.933	8.454	12.13	7.534	7.707	7.587	6.075	8.704	8.336	6.544	8.955	9.13	9.69	1.92	6.978	8.561	12.01	8.575	3.737	9.372	3.442	8.525	8.5	10.21	4.721	10.17	5.23	10.88
ALAS1	8.659	9.32	9.303	8.81	8.956	8.92	8.66	8.241	8.737	8.916	8.823	9.251	9.073	8.517	9.068	9.883	8.679	10.39	9.044	9.245	8.722	9.802	8.686	8.248	8.999	8.854	9.381	9.364	9.508	9.048	10.8	8.586	8.199	9.567	12.12	10.08	8.897	8.372	10.02	8.371	10.15	9.807	9.123	8.755	9.473	9.048	9.854
ALCAM	9.315	9.629	9.911	8.523	9.468	8.076	7.612	9.459	8.567	9.053	7.239	8.683	8.757	7.259	9.211	9.149	10.01	7.593	10.31	10.19	10.85	10.13	9.304	9.496	8.517	7.924	10.01	8.202	8.325	7.02	10.12	8.647	7.633	6.778	9.42	9.975	10.01	5.073	9.811	8.438	9.982	9.638	8.481	8.047	9.367	6.099	9.05
AMICA1	9.164	9.896	9.722	8.994	9.98	9.713	8.089	8.083	8.178	10.42	9.209	9.716	9.959	7.817	9.963	8.342	8.93	9.047	8.661	12.05	11.42	11.59	10.16	10.2	8.59	6.553	12.59	10.82	8.682	7.569	12.98	9.549	6.697	8.426	10.63	12.38	9.449	6.437	11.74	6.258	12.34	12.68	7.748	7.582	12.65	7.542	11.75
