,CTLA4,PDCD1,OS-score
TCGA-3Z-A93Z-01A-11R-A37O-07,0.265714216,0.715257207,-0.169449068
TCGA-6D-AA2E-01A-11R-A37O-07,0.382450956,3.102132938,0.297482238
TCGA-A3-3306-01A-01R-0864-07,0.895744479,0.325628965,-0.053583137
TCGA-A3-3307-01A-01R-0864-07,0.316433343,1.724167549,-0.128045746
TCGA-A3-3308-01A-02R-1325-07,0.662384674,0.394707991,-0.191070546
TCGA-A3-3311-01A-02R-1325-07,0.3614965,1.677555133,0.370421306
TCGA-A3-3313-01A-02R-1325-07,0.103877871,0.178581771,0.089178535
TCGA-A3-3316-01A-01R-0864-07,0.482356444,0.300694216,0.024114721
TCGA-A3-3317-01A-02R-1325-07,0.814901572,2.195262327,-0.347414042
TCGA-A3-3319-01A-02R-1325-07,0.407830753,0.875490509,0.398985678
TCGA-A3-3320-01A-02R-1325-07,0.592502333,0.939453059,0.093302908
TCGA-A3-3322-01A-02R-1325-07,0.310582097,0.331558024,-0.107955909
TCGA-A3-3323-01A-02R-1325-07,1.273673123,1.452400166,-0.204407097
TCGA-A3-3324-01A-02R-1325-07,0.479506388,1.755894353,-0.129870048
TCGA-A3-3325-01A-01R-0864-07,1.197749727,0.485919451,-0.342351441
TCGA-A3-3326-01A-01R-0864-07,2.573970725,1.640811243,-0.020968589
TCGA-A3-3328-01A-01R-0864-07,0,0.012632312,-0.041675613
TCGA-A3-3329-01A-01R-0864-07,1.645307159,1.683997047,0.357430504
TCGA-A3-3331-01A-02R-1325-07,0.57729387,0.969537322,0.163809575
TCGA-A3-3335-01A-01R-0864-07,0.774394731,0.476212465,0.242014232
TCGA-A3-3343-01A-01R-0864-07,1.883996229,1.366260743,0.135505277
TCGA-A3-3346-01A-01R-1766-07,0.798201695,2.307228896,0.215113534
TCGA-A3-3347-01A-02R-1325-07,1.201918653,2.787900603,-0.153427009
TCGA-A3-3349-01A-01R-1188-07,0.091767433,0.165650201,-0.332710599
TCGA-A3-3351-01A-02R-1325-07,4.836757271,7.611081766,-0.392537458
TCGA-A3-3352-01A-01R-0864-07,0.527962667,0.386506634,-0.210934275
TCGA-A3-3357-01A-02R-1420-07,0.816199377,2.285548331,0.34873651
TCGA-A3-3358-01A-01R-1541-07,1.236233411,2.360519078,0.221038811
TCGA-A3-3359-01A-01R-0864-07,1.809312224,4.807773195,-0.216911408
TCGA-A3-3362-01A-02R-1325-07,0.470261974,0.871428651,0.125993864
TCGA-A3-3363-01A-01R-0864-07,0.063253727,0.267829301,-0.262153881
TCGA-A3-3365-01A-01R-0864-07,1.106327189,0.440119216,-0.282760171
TCGA-A3-3367-01A-02R-1420-07,0.739484596,0.569977337,0.246406249
TCGA-A3-3370-01A-02R-1420-07,2.517840289,5.304788103,-0.361445824
TCGA-A3-3372-01A-02R-1325-07,0.670624623,1.464616543,-0.390968369
TCGA-A3-3373-01A-02R-1420-07,0.313862394,0.290998246,0.22620149
TCGA-A3-3374-01A-02R-1325-07,0.290458676,0.448127788,0.200516193
TCGA-A3-3376-01A-02R-1420-07,0.247433034,0.432916913,-0.500501753
TCGA-A3-3378-01A-02R-1325-07,2.045689862,4.576414115,0.105401557
TCGA-A3-3380-01A-01R-0864-07,0.444927385,0.532549579,-0.455979045
TCGA-A3-3382-01A-02R-1325-07,0.741888196,2.045983058,0.158114622
TCGA-A3-3383-01A-02R-1325-07,1.0192419,2.001232216,0.031445644
TCGA-A3-3385-01A-02R-1420-07,0.013157539,0.072571856,-0.048148638
TCGA-A3-3387-01A-01R-1541-07,1.350188943,0.564175449,0.031713714
TCGA-A3-A6NI-01A-11R-A33J-07,0.393649356,0.487652883,0.126177382
TCGA-A3-A6NJ-01A-12R-A33J-07,2.189424803,6.850393291,-0.054208677
TCGA-A3-A6NL-01A-11R-A33J-07,0.513926662,1.5461559,-0.444086961
TCGA-A3-A6NN-01A-12R-A33J-07,0.515147087,1.239862052,-0.249836494
TCGA-A3-A8CQ-01A-11R-A37O-07,0.660767213,0.346156591,-0.325623463
TCGA-A3-A8OU-01A-11R-A37O-07,0.980751629,1.126594888,-0.171166195
TCGA-A3-A8OV-01A-11R-A37O-07,0.154736673,0.15517585,0.196342855
TCGA-A3-A8OW-01A-11R-A37O-07,0.540579005,3.93032134,-0.211639161
TCGA-A3-A8OX-01A-11R-A37O-07,1.236864211,2.62272001,0.290468621
TCGA-AK-3425-01A-02R-1277-07,0.494978993,3.274224263,0.42425801
TCGA-AK-3426-01A-02R-1325-07,2.862597943,26.90967101,-0.36258411
TCGA-AK-3427-01A-01R-0864-07,0.016282601,0.040822035,-0.078087091
TCGA-AK-3428-01A-02R-1277-07,1.34034483,0.589009123,0.466742645
TCGA-AK-3429-01A-02R-1325-07,0.990950045,5.714134838,0.00068707
TCGA-AK-3431-01A-02R-1277-07,0.205493927,0.354910673,0.005786279
TCGA-AK-3433-01A-02R-1277-07,0.145596605,0.101083736,-0.08042821
TCGA-AK-3434-01A-02R-1277-07,0.866930619,1.361283527,-0.12551069
TCGA-AK-3436-01A-02R-1325-07,0.110572714,0.784735544,-0.013765975
TCGA-AK-3440-01A-02R-1277-07,0.223705145,0.29164209,-0.004465539
TCGA-AK-3443-01A-02R-1325-07,0.031207394,0.01877758,-0.173484092
TCGA-AK-3445-01A-02R-1277-07,0.828591656,1.839946062,-0.154002429
TCGA-AK-3447-01A-01R-1766-07,0,0.020531492,0.146691116
TCGA-AK-3450-01A-02R-1277-07,0.249253178,0.424933043,0.334782712
TCGA-AK-3451-01A-02R-1188-07,0.063662838,0.744841147,0.370580741
TCGA-AK-3453-01A-02R-1277-07,3.158845459,7.422615882,-0.299126475
TCGA-AK-3454-01A-02R-1277-07,0.575814878,1.265946252,-0.349738384
TCGA-AK-3455-01A-01R-0864-07,1.876715008,12.28581432,-0.035189552
TCGA-AK-3456-01A-02R-1325-07,0.029813948,0.179391401,0.327887437
TCGA-AK-3458-01A-01R-1503-07,1.614171901,1.544692671,-0.099850284
TCGA-AK-3460-01A-02R-1277-07,0.271441943,1.21258231,-0.164561227
TCGA-AK-3461-01A-02R-1277-07,1.642257069,1.360035641,-0.19692783
TCGA-AK-3465-01A-02R-1325-07,0.093742353,0.108471247,-0.186380228
TCGA-AS-3777-01A-01R-0864-07,0.14080552,0.154041989,0.297724492
TCGA-AS-3778-01A-01R-A32Z-07,0.634065542,1.062360085,-0.171561831
